Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 1-3Y Index,EMTXig_AAA_A,EUR,PDG01MTS,EM3AAR,EM3AAR= 
S,FTSE Eurozone FTSE Highest-Rated Eurozone Government 1-3Y Index Mid,EMTXig_AAA_A_MP,EUR,PDG01MTS,FMMP3AAR,-
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 3-5Y Index,EMTXig_AAA_B,EUR,PDG01MTS,EM3ABR,EM3ABR= 
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 5-7Y Index,EMTXig_AAA_C,EUR,PDG01MTS,EM3ACR,EM3ACR= 
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 7-10Y Index,EMTXig_AAA_D,EUR,PDG01MTS,EM3ADR,EM3ADR= 
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 10-15Y Index,EMTXig_AAA_E,EUR,PDG01MTS,EM3AER,EM3AER= 
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 15Y+ Index,EMTXig_AAA_F,EUR,PDG01MTS,EM3AFR,EM3AFR= 
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 15-25Y Index,EMTXig_AAA_FA,EUR,PDG01MTS,EM3AFAR,-
S,FTSE Eurozone Highest-Rated Eurozone Government Bond 25Y+ Index,EMTXig_AAA_FB,EUR,PDG01MTS,EM3AFBR,-
S,FTSE Eurozone Highest-Rated Eurozone Government Bond Index,EMTXig_AAA_G,EUR,PDG01MTS,EM3AGR,EM3AGRT= 
